0,2682.84,3899.24
1,2702.21,3922.36
2,2702.23,3915.73
3,2693.87,3895.88
4,2684.42,3905.7
5,2717.52,3938.62
6,2713.86,3949.24
7,2700.98,3915.36
8,2691.61,3923.39
9,2711.11,3941.23
10,2698,3930.35
11,2698.9,3910.52
12,2731.97,3930.75
13,2735.19,3951.46
14,2736.33,3945.57
15,2722.46,3917
16,2704.93,3940.93
17,2740.07,3975.12
18,2729.71,3946.77
19,2733.05,3939.62
20,2712.45,3948.12
21,2715.21,3969.21
22,2740.14,3990.44
23,2712.37,3940.64
24,2710.88,3956.33
25,2731.96,3997.73
26,2755.4,3993.62
27,2752.63,3996.71
28,2784.36,4070.49
29,2827.76,4188.53
30,2879.78,4268.42
31,2957.94,4361.73
32,3135.22,4565.76
33,3601.05,5076.82
34,3847.68,5359.01
35,3868.94,5417.2
36,4030.51,5637.04
37,4319.44,5990.04
38,4483.63,6199.28
39,4588.12,6307.67
40,4617.27,6382.7
41,4636.63,6447.08
42,4636.69,6431.64
43,4610.44,6415.64
44,4637.6,6465.17
45,4670.62,6531.66
46,4658.49,6550.33
47,4697.33,6561.64
48,4738.73,6596.03
49,4718.86,6623.44
50,4732.68,6605.21
51,4700.3,6570.56
52,4679.95,6563.54
53,4715.75,6583.65
54,4708.35,6562.17
55,4713.73,6530.89
56,4717.31,6551.14
57,4762.64,6563.83
58,4742.08,6536.86
59,4713.25,6448.42
60,4619.94,6320.37
61,4380.88,6049.22
62,4104.27,5701.96
63,4042.49,5569.52
64,3857.27,5350.52
65,3413.38,4902.37
66,3215.41,4623.39
67,3120.94,4480.33
68,3076.17,4393.31
69,2997.24,4324.54
70,2933.05,4237.3
71,2914.01,4166.18
72,2881.32,4136.63
73,2872.82,4108.59
74,2835.49,4073.47
75,2810.73,4018.23
76,2798.71,4003.01
77,2785.63,4008.31
78,2739.57,3952.85
79,2732.09,3916.75
80,2722.8,3912.7
81,2744.96,3931.32
82,2710.17,3905.97
83,2683.75,3870.33
84,2690.99,3861.97
85,2700.02,3882.39
86,2668.05,3844.72
87,2660.65,3819.1
88,2680.89,3823.89
89,2664.83,3844.25
90,2652.78,3815.68
91,2662.86,3784.67
92,2632.66,3806.29
93,2661.84,3806.72
94,2620.35,3778.02
95,2624.28,3749.91
96,2639.46,3755.97
97,2638.52,3792.22
98,2632,3770.3
99,2631.6,3733.68
100,2621.49,3751.85
101,2624.02,3765.22
102,2631.18,3750.18
103,2601.36,3712.5
104,2619.91,3733.64
105,2621.55,3756.54
106,2594.1,3732.5
107,2584.7,3705.3
108,2598.1,3707.03
109,2614.46,3729.49
110,2605.22,3730.45
111,2598.62,3711.63
112,2588.42,3721.27
113,2611,3744.99
114,2600.94,3724.05
115,2598.33,3691.03
116,2582.54,3706
117,2592.35,3741.72
118,2592.77,3716.85
119,2562.04,3696.87
120,2595.9,3699.77
121,2607.62,3732.33
122,2596.18,3706.17
123,2584.77,3682.95
124,2604.65,3709.29
125,2598.79,3723.9
126,2580.4,3706.12
127,2587.3,3705.43
128,2587.92,3706.8
129,2591.62,3747.78
130,2603.1,3722.23
131,2591.64,3690.22
132,2578.87,3693
133,2596.76,3724.18
134,2598.4,3727.34
135,2568.27,3702
136,2564.06,3723.96
137,2571.36,3740.29
138,2570.28,3710.56
139,2572.61,3728.4
140,2575.18,3735.71
141,2594.33,3769.95
142,2621.81,3832.15
143,2677.4,3904.46
144,2741.65,4034.19
145,2893.1,4238.33
146,3012.28,4446
147,3374.24,4851.27
148,3735.98,5254.56
149,3821.31,5384.11
150,3839.97,5424.43
151,3908.32,5524.51
152,4075.37,5704.41
153,4226.68,5906.77
154,4317.74,6006.43
155,4361.89,6052.53
156,4389.31,6088.29
157,4434.98,6161.4
158,4442.08,6172.58
159,4455.81,6149.09
160,4441.82,6150.56
161,4463.47,6188.08
162,4444.21,6161.18
163,4417.91,6121.42
164,4391,6104.86
165,4401.38,6129
166,4369.47,6088.77
167,4325.46,6021.32
168,4287.44,5981.67
169,4266.06,5974.97
170,4209.8,5901.37
171,4165.78,5829.29
172,4093.93,5755.43
173,4025.13,5696.76
174,3958.15,5599.06
175,3908.45,5515.94
176,3883.47,5477.42
177,3884.45,5482.38
178,3882.43,5450.17
179,3862.74,5411.3
180,3853.04,5364.04
181,3738.79,5245.67
182,3348.09,4839.54
183,3087.85,4500.38
184,2978.78,4321.19
185,2892.72,4221.8
186,2777.98,4057.38
187,2699.17,3901.24
188,2643.19,3801.58
189,2597.59,3760.99
190,2532.88,3655.11
191,2484.47,3574.01
192,2454.18,3537.17
193,2445.12,3536.21
194,2401.81,3491.34
195,2379,3449.08
